id,status,date,version,component,title,root_cause,lesson_ids,tags,synthesized_to
e013,mature,2026-04-02,,,工作流架构重构：workflow → cycle + lens,"- 第一性原理分析发现，专项工作流本质是 /cycle 的单次 turn + 领域知识，是 skill 伪装成 workflow
- 作为 workflow 的代价：① 每次对话全量注入 context（~460 行）；② 跨工作流调用链（/dev → /debug → /cycle）造成 context 膨胀和上下文断裂","T15,T16",autopilot;commit;context;cycle;skill;workflow;消耗,
e014,mature,2026-04-02,,,全局规则脱轨修复 + references/ 纳管,"- 全局规则 `link-global` 建立的 symlink 在某次操作后断开（变回副本），之后部署版被独立扩写（增加了详细的""云层超脱""子章节），导致源仓库不再是全局规则的 single source of truth。源（2035 bytes/51 行压缩版）与部署（4161 bytes/展开版）内容完全不同
- `references/道德经.md` 是手动复制到项目的副本，不受 `dao.ps1` 管理，无法随源更新
- 跨层内容""冗余""经分析确认为索引模式设计意图（全局=压缩索引，层文件=展开详情），不需要删减","T12,T13,T14",rule;symlink,
e015,mature,2026-03-29,,,W3+W4+OPT autopilot 执行,"- W3：symlink 模式下 sync 全输出 `[skip]`，用户无法判断是""源文件已变""还是""源文件未变""。变更摘要让传播可见
- W4：新范式（TODO.md + AGENT_GUIDE.md）落地情况无法一眼看出；status 健康矩阵给出直接答案
- OPT：dao-fa-mechanism.md 是最容易被查阅的""地图文件""，但少了 dao-autopilot.md（最重要的工作流之一）和 dao-ask-next-step.md，是显著的文档错误","T8,T9",autopilot;commit;symlink,
e016,mature,2026-03-29,,,同步前自审门,- windsurf-dao 今天多次 sync 前未经自审，靠的是人工检验。这个约定不应依赖人记住，应固化为项目工作约定写在 AGENT_GUIDE.md 里，下一个 Agent 开始工作时自然读到,T7,,
e017,mature,2026-03-29,,,W1 工作流无为化审查 + W2 dao-dev 接入知识归位,"- 11个工作流全部审查后，真正违反无为原则的只有 dao-cycle.md 和 dao-dev.md 两处。其余9个写得已经很好——减法不需要为减法而减法，有问题才改
- dao-dev.md 缺少与 autopilot 的知识归位一致性：autopilot 完成后写 AGENT_GUIDE.md，但 dev 管线没有同等步骤","T5,T6",autopilot;cycle,
e018,mature,2026-03-29,,,dao-autopilot.md 重构 + dao-commit.md 无为化,"- autopilot 原设计在 TODO.md / AGENT_GUIDE.md 存在时走""路径A""，不存在时走""路径B""——本质是建立了平行追踪系统，违反""单一载体""原则。真正的融合是：无论是否存在，都用这两个文件（不存在就创建）
- ""禁止 AI 自动执行""是下德做法（法令滋彰）。行为应来自对""commit 是用户对历史的主动声明""这一道理的理解，而非显式禁令","T1,T2,T3,T4",autopilot;commit,
e019,mature,2026-04-26,v0,rules,rules 系统重构:9 文件 + 4 trigger 各得其所,旧 6 文件结构总字符 18900 超 12K 限;always_on/model_decision 2 trigger 未充分利用;道法德术四层概念与 Windsurf 系统天性不匹配,,rules;trigger;refactor,
e020,mature,2026-05-08,v0,agents,Subagent 金字塔 × Superpowers 流程合体:落地 8 个 .devin/agents profile,"用户提'AI 能否多模型协作'触发深度探究。流程从'按任务难度选模型'演化到'高级模型指挥低级模型干活'金字塔结构,再融合 obra/superpowers 7 步工作流(brainstorm→worktree→plan→subagent-driven-dev→TDD→two-stage review→finishing) 与 Anthropic Orchestrator-Worker 模式。最终落地为 8 个 subagent profile(brainstormer/plan-writer/spec-writer/strategist/reviewer/reviewer-critical/debugger/worker-batch) + AGENT_GUIDE §四 调度章。三条铁律(no fix without root cause / no claim without evidence / no code without failing test)嵌入每个 worker profile system prompt,不是建议是硬约束。","T24,T25,T26",subagent;multi-agent;superpowers;model-routing;pyramid,
e021,mature,2026-05-08,v0,skills+agents,Superpowers → dao 内生方法论升格:5 个 dao-* skill + 8 profile 改引用 + skills-kit 剔除,"用户要求把 obra/superpowers 开发范式作为内生方法论集成到 windsurf-dao,同时 windsurf-skills-kit 剔除 superpower 内容回归通用工具型 skill 货架职责。调研发现 dao-debug 已超越 systematic-debugging(三层螺旋×15武器 vs 4 phases),dao-dev 谋造成三段式已覆盖 brainstorm+plan+finishing。真正缺口:dao-test 缺 RED-GREEN 铁律、无 dao-verify(涅槃门 skill 化)、无 dao-worktree(隔离工作区)、无 dao-pyramid(subagent 总览)、无 dao-review(两阶段评审)。新增 4 skill + 升级 1 skill(dao-test 加 RED-GREEN 铁律),8 profile 改引用 dao-* skill,dao-dev workflow 加 subagent 调度(按需判断不强制),skills-kit 删 3 目录更新 README/add-skill.ps1/workflow。","T27,T28,T29",superpowers;dao;skills;agents;methodology;rate-limit,
e022,mature,2026-05-08,v0,skills,dao 完整化:补 5 个新 dao-* skill 覆盖 superpowers 全 11 个 process 范式,"接 e021 后用户 review 发现 dao 只覆盖 superpowers 12 个范式中的 7 个,剩 5 个缺口(brainstorming/writing-plans/executing-plans/dispatching-parallel-agents/finishing-a-development-branch)。本次新增 5 个 dao-* skill 用道德经底色改写:dao-brainstorm(不知常妄作凶)/ dao-plan(图难于其易)/ dao-execute(行不言之教)/ dao-parallel(江海善下)/ dao-finish(功遂身退)。同时升级 dao-pyramid 补 SDD 完整流程(fresh subagent per task + two-stage review 闭环)。8 profile 加新 dao-* 引用,AGENT_GUIDE §4.8 映射表扩展到 17 行覆盖全部范式。dao 现自包含完整 superpowers 范式 + 道德经升级,无需依赖 windsurf-skills-kit。","T30,T31",dao;skills;superpowers;completion;philosophy,
e023,mature,2026-05-08,v0,methodology,善行者无辙迹:消解全部 superpowers 外部引用完成内化,"用户审视 windsurf-dao 发现虽已吸收 superpowers 全部范式,但仍残留约 15% 外部引用痕迹:AGENT_GUIDE §四标题/引语含'Superpowers'、§4.8 映射表作为翻译字典存在、8 个 agent profile 引用 superpowers 作为来源、dao-pyramid SKILL.md 引用外部来源。'善行者无辙迹'——真正内化后不应看出来源。本次:①重写 §四标题/引语为道德经原文;②§4.2 从'Superpowers 骨架'改为'谋造成展开';③§4.8 从映射表改为道德经推导表(去外部参考列);④8 个 agent profile 去除所有 superpowers/systematic-debugging 外部引用改为 dao-* 内生引用;⑤dao-pyramid SDD 段去除外部来源标注。至此 windsurf-dao 全项目 grep superpowers 仅存 evolution-*.csv 历史记录——痕迹只留在来路,不在当下。","T28,T31",善行无辙;内化;superpowers;methodology;philosophy,
e024,mature,2026-05-09,v0,workflows+architecture,为道日损:工作流减法 13→9 + stacks/ 新层,"全景审查 13 个工作流后执行减法:①删 dao-review.md(workflow 被 SKILL 完全覆盖)②删 dao-session-report.md(自报断链,sync 不读它)③合并 dao-health-check.md 入 evolve 作'快速体检'④瘦身 distill(Git考古并入evolve,126→51行)⑤瘦身 dev §Subagent(77→20行指针)⑥瘦身 doc(删80行模板)⑦瘦身 autopilot(删重复schema)。新建 .windsurf/stacks/ 层存放固定技术栈处方(frontend-nextjs.md),与 workflows(方法论)/skills(能力)/rules(约束) 语义分离。dao-dev 基建审计按需加载 stacks/。workflows 13→9,总减约 500 行(~24%)。","T32,T33",为道日损;减法;stacks;architecture;entropy-reduction,
e025,new,2026-05-10,v3-道德经化,rules+skills+workflow,dao 体系道德经化系统升级 — 11 关键词代谢为 8 句根基+3 缺口 skill+1 工程 workflow,"用户提出 11 关键词期望融入 dao 协作模式。研究道德经全文（81 章王弼本）后，识别 11 关键词的代谢路径：3 保留（道法自然 25/反者道之动 40/用户无为 37）、5 替换为道德经原文（去芜留菁→为道日损 48 / 万法归宗→各复归其根 16 / 唯变所适→上善若水 8 / 推进到底→勤而行之 41+慎终如始 64 / 三思而后行→为之于未有 64+致虚守静 16）、3 升级为 skill（带入用户五感→dao-empathy 49章 / 发现所有问题→dao-full-coverage 71章 / 模拟用户测试→dao-user-simulation 54章）、4 新增（不言之教 2 / 太上不知有之 17 / 善行无辙迹 27 / 受国之垢 78）。设计：dao-mantra.md (always_on 29行) 八句根基常驻 + 场景速查表指向具体 skill；3 个新 skill 通过 description push 按需加载；新 /dao-superpowers workflow 与 /dao-dev (道) 形成 (术) 互补。关键洞察：A. 用户 11 关键词中 8 个是道德经原文化用，3 个是真工程缺口。研究道德经原文比保留用户表达更精炼（如病病二字胜发现所有问题解决所有问题 12 字）。B. 选择性使用 = always_on 心怀根基（最少负载29行）+ 场景树指向 skill（按需展开）。不是全量 always_on，不是纯 model_decision。C. 本次 dao 体系自我升级走 superpowers 五步（research→plan v1→plan v2→execute→review→commit）= 身教重于言教。",,sidecar;mantra;道德经;empathy;full-coverage;user-simulation;superpowers;workflow;rules;methodology-evolution,
e026,new,2026-05-11,v3.1,docs+rules,用户视角使用手册 USAGE.md + README 入口 + 涪槃 typo 修,"v3 升级落地后用户提出三问：日常怎么用？小任务大任务怎么走？/dao-cycle 意义在哪？意识到 dao 体系一直缺一份用户视角的使用手册——README 是开发者视角，AGENT_GUIDE 是 AI 视角，全部 27 个 skill 描述加在一起也无法替代用户手册。补齐 docs/USAGE.md（约 260 行）六段结构：(一) 提需求三种姿势（直说/显式重/显式轻）+ 任务规模阈值表；(二) AI 内部三层运转图（心怀always_on→判定gate→落地workflow+skill）；(三) 三 workflow 区别（cycle 怎么想/superpowers 怎么交付/dao-dev 怎么从0做出）+ 嵌套关系示意；(四) 主动开关清单（触发开关/降级开关/中止开关）；(五) FAQ 8 题（含'AI 会不会自动走 superpowers'明确答否）；(六) 最少要知道的 3 件事。README 顶部 L7 加入口链接。顺手修 L36 涪槃→涅槃 typo（v0 历史遗留）。任务本身演示：单文档+README 入口=2 文件 ~260 LOC，gate 弱信号触发但文档无回归风险，AI 主动建议轻量路径直推 master——演示'中型文档任务直接做'的样态，与紧邻的 e025（dao 体系自升级走完整 superpowers 五步）形成对照。关键洞察：A. 用户视角文档不能从 AGENT_GUIDE/README 二次推导，必须独立写。B. 入门体验关键句'你不需要懂道德经'——降低用户使用门槛。C. dao 体系成熟标志不是规则越多越深，而是用户能 3 分钟上手。",,docs;usage;user-guide;onboarding;v3.1;readme,
e027,new,2026-05-11,v3.2,workflows+architecture,"autopilot state 文件位置修正：.windsurf/autopilot/ → .dao-autopilot/，避免屏蔽 sidecar always_on rules","dao-autopilot 把 state.json 写到 .windsurf/autopilot/ 导致目标项目出现 .windsurf/ 目录后，windsurf-dao sidecar workspace 的 always_on rules（含 execution.md「禁 create_memory」铁律）不再注入目标项目。实测：TraceyU M1 autopilot 期间 Cascade 多次违反「禁 create_memory」（属 sidecar 的 execution.md 完全没注入）。修复：(1) dao-autopilot.md 全部路径 .windsurf/autopilot/ → .dao-autopilot/，新增 §1.3.0 设计约束章节解释；(2) 无感切号 watchdog 升级 v2.16.0 优先扫新路径 + 旧路径 deprecation warning；(3) TraceyU 删除 .windsurf/ 恢复 sidecar 生效。",L027a,sidecar;autopilot;rules-injection;workspace-isolation;path-design,
e028,new,2026-05-16,v0.2,skills+rules+theme,dao-cycle 三转 · 字号铁律落地：StatusBadge 10→12 / button-sm 0.8rem→14 / html 显式 16px + skill 沉淀,"用户在 TraceyU Linear 主题落地后发现字号问题，三次反例（10px / 0.8rem / 无 root font-size）推动 dao-cycle 一转表层修 → 二转结构升 → 三转空性铁律。最终产出：① TraceyU 4 commits (Merge+a11y+ui+theme)；② windsurf-dao 1 commit 沉淀 dao-ui-mockup SKILL.md 档 1 + quality.md 前端域；③ html font-size 16px 显式声明跨项目铁律。本质：dao-ui-mockup v0.2 第六步「固」原档 1 清单只查 a11y 下限，未查体系一致性 + root 锚定。",T36,distill;dao-cycle;font-size;skill-evolution;ui-mockup,
e029,new,2026-05-16,v0.2,skills+rules+code,dao-cycle 二转 · shadcn 体系裂痕扫除：BYOK select 走 base-ui Primitive + card-option textarea 走 ui/Textarea + radius 还原默认,"用户截图举例 BYOK Settings 界面语言用浏览器原生 <select>，与同 dialog 内 shadcn Input/Button 视觉断层（OS 原生箭头/dropdown 主题）。dao-cycle 一转: 修 --radius 0.375rem→0.5rem 对齐 Linear mockup 8px(我自己擅自收紧的坑)。二转: 创 ui/select.tsx wrap @base-ui/react/select，trigger 同 Input(h-8/rounded-lg/border-input/text-sm/px-2.5)，items prop 让 SelectValue 渲染 label。playwright 实测 32px h-8 / 8px radius / 14px text-sm 全对齐。同步 card-option.tsx textarea 改走 ui/Textarea wrap。本质: typecheck pass ≠ 体系一致，shadcn 项目内凡见原生 form element 必扫体系裂痕。",T37,distill;dao-cycle;shadcn;base-ui;native-element;visual-consistency;ui-mockup,
e030,update,2026-05-16,v0.3,skills+rules+workflow+template,dao-ui-mockup 治本重构 · 删档 1 补丁铁律 · 内化为档 0 默认行为 + 加六·固 6.2 mockup-vs-impl diff 验证闭环,"用户质疑：为什么 dao-superpowers 第一次实现没解决这些问题？不要靠加规则打补丁，要道法自然。深度反思后做治本四改：(1) dao-ui-mockup SKILL.md 删档 1 的 T35/T36b/T37 三条 🔒 补丁铁律段，内化为档 0 肌肉记忆段（不思考的呼吸）；(2) 加六·固 6.2 mockup-vs-impl diff 验证闭环 + templates/verify-visual.mjs 模板，实施完 playwright 量 mockup vs dev server diff 出 visual-diff 报告全绿才进 dao-finish；(3) dao-superpowers workflow 第四步 review 加 visual compliance UI 任务必调 6.2，第五步 finish 前置 visual-diff 全绿证明；(4) quality.md 前端域清单收拢为 skill 引用单句。本质：规则膨胀治标不治本，6.2 验证闭环让 token-level 偏差自动捕获。为道日损。",T38,distill;dao-evolve;治本;闭环验证;为道日损;反规则膨胀,e028;e029,
